symbol,Company,Sector,Market Cap,Weight(%)
ASX:ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"2,166,820,000",0.12
ASX:ABC,Adelaide Brighton,Materials,"4,476,200,000",0.25
ASX:APT,Afterpay Touch,Information Technology,"3,088,070,000",0.17
ASX:AGL,AGL Energy Limited,Utilities,"14,421,600,000",0.79
ASX:ALQ,Als Limited,Industrials,"3,653,820,000",0.2
ASX:ALU,Altium Limited,Information Technology,"2,657,810,000",0.15
ASX:AWC,Alumina Limited,Materials,"8,149,960,000",0.45
ASX:AMC,Amcor Limited,Materials,"17,453,200,000",0.96
ASX:AMP,AMP Limited,Financials,"9,922,800,000",0.55
ASX:ANN,Ansell Limited,Health Care,"4,100,910,000",0.23
ASX:ANZ,ANZ Banking Group Limited,Financials,"84,531,900,000",4.65
ASX:APA,APA Group Units FP Stapled Securities,Utilities,"11,386,000,000",0.63
ASX:APO,Apn Outdoor Group,Consumer Discretionary,"1,052,140,000",0.06
ASX:APX,Appen Limited,Information Technology,"1,156,040,000",0.06
ASX:ARB,ARB Corporation,Consumer Discretionary,"1,668,600,000",0.09
ASX:AAD,Ardent Leisure Group Ordinary/Units FP Stapled Securities,Consumer Discretionary,"897,911,000",0.05
ASX:ALL,Aristocrat Leisure,Consumer Discretionary,"20,561,100,000",1.13
ASX:ASX,ASX Limited,Financials,"12,717,300,000",0.7
ASX:ALX,Atlas Arteria Ordinary Stapled Securities,Industrials,"4,468,550,000",0.25
ASX:AZJ,Aurizon Holdings Limited,Industrials,"9,055,080,000",0.5
ASX:ASL,Ausdrill Limited,Materials,"661,010,000",0.04
ASX:AST,Ausnet Services Limited,Utilities,"5,891,390,000",0.32
ASX:API,Australian Pharm,Health Care,"832,204,000",0.05
ASX:AHG,Automotive Holdings,Consumer Discretionary,"905,331,000",0.05
ASX:AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,"1,376,590,000",0.08
ASX:BOQ,Bank of Queensland,Financials,"4,414,130,000",0.24
ASX:BAP,Bapcor Limited,Consumer Discretionary,"1,956,110,000",0.11
ASX:BPT,Beach Energy Limited,Energy,"4,349,130,000",0.24
ASX:BGA,Bega Cheese Limited,Consumer Staples,"1,352,750,000",0.07
ASX:BAL,Bellamy's Australia,Consumer Staples,"1,246,480,000",0.07
ASX:BEN,Bendigo and Adelaide,Financials,"5,676,660,000",0.31
ASX:BHP,BHP Billiton Limited,Materials,"111,960,000,000",6.15
ASX:BKL,Blackmores Limited,Consumer Staples,"2,550,990,000",0.14
ASX:BSL,Bluescope Steel Limited,Materials,"9,657,820,000",0.53
ASX:BLD,Boral Limited,Materials,"7,796,010,000",0.43
ASX:BXB,Brambles Limited,Industrials,"15,728,200,000",0.86
ASX:BRG,Breville Group Limited,Consumer Discretionary,"1,397,220,000",0.08
ASX:BKW,Brickworks Limited,Materials,"2,327,780,000",0.13
ASX:BWP,BWP Trust Ordinary Units FP,Real Estate,"2,126,290,000",0.12
ASX:CTX,Caltex Australia,Energy,"8,491,990,000",0.47
ASX:CAR,Carsales.com Limited,Information Technology,"3,387,170,000",0.19
ASX:CGF,Challenger Limited,Financials,"7,599,050,000",0.42
ASX:CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"3,116,050,000",0.17
ASX:CQR,Charter Hall Retail Units FP,Real Estate,"1,663,290,000",0.09
ASX:CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"1,705,680,000",0.09
ASX:CLW,CHTR H LWR Stapled Securities,Real Estate,"989,599,000",0.05
ASX:CIM,Cimic Group Limited,Industrials,"15,671,200,000",0.86
ASX:CWY,Cleanaway Waste Limited,Industrials,"3,788,920,000",0.21
ASX:CCL,Coca-Cola Amatil,Consumer Staples,"6,935,920,000",0.38
ASX:COH,Cochlear Limited,Health Care,"11,702,900,000",0.64
ASX:CBA,Commonwealth Bank,Financials,"131,619,000,000",7.23
